class,trial,target,detect_ms,recover_ms,path
stall,21,plant,104.544,314.522,DETECT_DEADLINE
stall,22,controller,22.090,242.107,DETECT_DEADLINE
stall,23,logger,27.963,248.015,DETECT_DEADLINE
stall,24,plant,71.758,291.804,DETECT_DEADLINE
stall,25,controller,94.582,314.562,DETECT_DEADLINE
stall,26,logger,41.654,251.641,DETECT_DEADLINE
stall,27,plant,86.683,296.711,DETECT_DEADLINE
stall,28,controller,42.050,252.045,DETECT_DEADLINE
stall,29,logger,36.637,256.552,DETECT_DEADLINE
stall,30,plant,82.653,292.676,DETECT_DEADLINE
stall,31,controller,39.743,259.742,DETECT_DEADLINE
stall,32,logger,58.442,278.487,DETECT_DEADLINE
stall,33,plant,63.529,273.590,DETECT_DEADLINE
stall,34,controller,29.224,239.301,DETECT_DEADLINE
stall,35,logger,63.682,273.740,DETECT_DEADLINE
stall,36,plant,59.029,269.129,DETECT_DEADLINE
stall,37,controller,54.483,264.510,DETECT_DEADLINE
stall,38,logger,60.066,270.139,DETECT_DEADLINE
stall,39,plant,94.911,314.843,DETECT_DEADLINE
stall,40,controller,32.923,252.973,DETECT_DEADLINE
stall,41,logger,37.128,257.087,DETECT_DEADLINE
stall,42,plant,72.608,282.580,DETECT_DEADLINE
stall,43,controller,38.875,258.811,DETECT_DEADLINE
stall,44,logger,44.231,254.234,DETECT_DEADLINE
stall,45,plant,70.120,280.161,DETECT_DEADLINE
stall,46,controller,82.067,292.082,DETECT_DEADLINE
stall,47,logger,48.125,258.113,DETECT_DEADLINE
stall,48,plant,73.614,283.582,DETECT_DEADLINE
stall,49,controller,49.673,259.662,DETECT_DEADLINE
stall,50,logger,44.223,254.219,DETECT_DEADLINE
stall,51,plant,69.593,279.588,DETECT_DEADLINE
stall,52,controller,45.020,255.036,DETECT_DEADLINE
stall,53,logger,75.864,285.851,DETECT_DEADLINE
stall,54,plant,72.475,292.433,DETECT_DEADLINE
stall,55,controller,48.264,258.250,DETECT_DEADLINE
stall,56,logger,42.803,262.775,DETECT_DEADLINE
stall,57,plant,78.154,288.153,DETECT_DEADLINE
stall,58,controller,44.392,254.390,DETECT_DEADLINE
stall,59,logger,49.168,269.210,DETECT_DEADLINE
stall,60,plant,9.652,229.590,DETECT_DEADLINE
stall,61,controller,34.706,244.763,DETECT_DEADLINE
stall,62,logger,49.359,269.424,DETECT_DEADLINE
stall,63,plant,75.428,295.457,DETECT_DEADLINE
stall,64,controller,31.786,251.820,DETECT_DEADLINE
stall,65,logger,56.720,276.780,DETECT_DEADLINE
stall,66,plant,51.237,271.275,DETECT_DEADLINE
stall,67,controller,47.379,257.378,DETECT_DEADLINE
stall,68,logger,72.074,292.037,DETECT_DEADLINE
stall,69,plant,69.375,279.353,DETECT_DEADLINE
stall,70,controller,14.746,234.696,DETECT_DEADLINE
stall,71,logger,78.538,288.539,DETECT_DEADLINE
stall,72,plant,64.375,284.390,DETECT_DEADLINE
stall,73,controller,20.387,240.468,DETECT_DEADLINE
stall,74,logger,83.880,293.904,DETECT_DEADLINE
stall,75,plant,80.740,290.753,DETECT_DEADLINE
stall,76,controller,37.381,257.336,DETECT_DEADLINE
stall,77,logger,51.776,261.775,DETECT_DEADLINE
stall,78,plant,76.722,296.754,DETECT_DEADLINE
stall,79,controller,43.085,263.046,DETECT_DEADLINE
stall,80,logger,48.424,268.508,DETECT_DEADLINE
stall,81,plant,89.062,309.097,DETECT_DEADLINE
stall,82,controller,24.307,234.334,DETECT_DEADLINE
stall,83,logger,58.026,278.089,DETECT_DEADLINE
stall,84,plant,62.595,282.621,DETECT_DEADLINE
stall,85,controller,18.612,228.598,DETECT_DEADLINE
stall,86,logger,62.422,272.473,DETECT_DEADLINE
stall,87,plant,68.470,288.469,DETECT_DEADLINE
stall,88,controller,31.518,241.602,DETECT_DEADLINE
stall,89,logger,46.640,256.651,DETECT_DEADLINE
stall,90,plant,91.387,301.458,DETECT_DEADLINE
stall,91,controller,96.996,316.945,DETECT_DEADLINE
stall,92,logger,52.294,262.310,DETECT_DEADLINE
stall,93,plant,96.775,316.721,DETECT_DEADLINE
stall,94,controller,13.303,233.302,DETECT_DEADLINE
stall,95,logger,90.717,310.744,DETECT_DEADLINE
stall,96,plant,86.105,296.130,DETECT_DEADLINE
stall,97,controller,31.319,251.347,DETECT_DEADLINE
stall,98,logger,34.620,244.675,DETECT_DEADLINE
stall,99,plant,77.778,287.777,DETECT_DEADLINE
stall,100,controller,33.082,253.128,DETECT_DEADLINE
